id,s_id,stamp,time,amplitude
523,523,20230502185209,602560,217
524,524,20230502185209,603712,214
525,525,20230502185209,604864,211
526,526,20230502185209,606016,208
527,527,20230502185209,607168,213
528,528,20230502185209,608320,217
529,529,20230502185209,609472,223
530,530,20230502185209,610624,226
531,531,20230502185209,611776,221
532,532,20230502185209,612928,219
533,533,20230502185209,614080,213
534,534,20230502185209,615232,215
535,535,20230502185209,616384,219
536,536,20230502185209,617536,227
537,537,20230502185209,618688,223
538,538,20230502185209,619840,219
539,539,20230502185209,620992,213
540,540,20230502185209,622144,213
541,541,20230502185209,623296,217
542,542,20230502185209,624448,219
543,543,20230502185209,625600,217
544,544,20230502185209,626752,214
545,545,20230502185209,627904,211
546,546,20230502185209,629056,211
547,547,20230502185209,630208,215
548,548,20230502185209,631360,219
549,549,20230502185209,632512,221
550,550,20230502185209,633664,220
551,551,20230502185209,634816,218
552,552,20230502185209,635968,214
553,553,20230502185209,637120,213
554,554,20230502185209,638272,216
555,555,20230502185209,639424,222
556,556,20230502185209,640576,219
557,557,20230502185209,641728,217
558,558,20230502185209,642880,214
559,559,20230502185209,644032,211
560,560,20230502185209,645184,215
561,561,20230502185209,646336,219
562,562,20230502185209,647488,220
563,563,20230502185209,648640,218
564,564,20230502185209,649792,218
565,565,20230502185209,650944,213
566,566,20230502185209,652096,214
567,567,20230502185209,653248,217
568,568,20230502185209,654400,222
569,569,20230502185209,655552,220
570,570,20230502185209,656704,218
571,571,20230502185209,657856,216
572,572,20230502185209,659008,213
573,573,20230502185209,660160,216
574,574,20230502185209,661312,219
575,575,20230502185209,662464,219
576,576,20230502185209,663616,216
577,577,20230502185209,664768,214
578,578,20230502185209,665920,210
579,579,20230502185209,667072,214
580,580,20230502185209,668224,216
581,581,20230502185209,669376,216
582,582,20230502185209,670528,216
583,583,20230502185209,671680,216
584,584,20230502185209,672832,215
585,585,20230502185209,673984,212
586,586,20230502185209,675136,216
587,587,20230502185209,676288,220
588,588,20230502185209,677440,222
589,589,20230502185209,678592,221
590,590,20230502185209,679744,220
591,591,20230502185209,680896,215
592,592,20230502185209,682048,213
593,593,20230502185209,683200,217
594,594,20230502185209,684352,220
595,595,20230502185209,685504,216
596,596,20230502185209,686656,214
597,597,20230502185209,687808,213
598,598,20230502185209,688960,211
599,599,20230502185209,690112,215
600,600,20230502185209,691264,217
601,601,20230502185209,692416,212
602,602,20230502185209,693568,211
603,603,20230502185209,694720,211
604,604,20230502185209,695872,210
605,605,20230502185209,697024,214
606,606,20230502185209,698176,217
607,607,20230502185209,699328,218
608,608,20230502185209,700480,214
609,609,20230502185209,701632,214
610,610,20230502185209,702784,214
611,611,20230502185209,703936,211
612,612,20230502185209,705088,215
613,613,20230502185209,706240,219
614,614,20230502185209,707392,217
615,615,20230502185209,708544,216
616,616,20230502185209,709696,215
617,617,20230502185209,710848,212
618,618,20230502185209,712000,215
619,619,20230502185209,713152,215
620,620,20230502185209,714304,221
621,621,20230502185209,715456,217
622,622,20230502185209,716608,216
623,623,20230502185209,717760,217
624,624,20230502185209,718912,212
625,625,20230502185209,720064,216
626,626,20230502185209,721216,220
627,627,20230502185209,722368,216
628,628,20230502185209,723520,213
629,629,20230502185209,724672,213
630,630,20230502185209,725824,211
631,631,20230502185209,726976,215
632,632,20230502185209,728128,218
633,633,20230502185209,729280,217
634,634,20230502185209,730432,211
635,635,20230502185209,731584,211
636,636,20230502185209,732736,212
637,637,20230502185209,733888,212
638,638,20230502185209,735040,215
639,639,20230502185209,736192,218
640,640,20230502185209,737344,213
641,641,20230502185209,738496,210
642,642,20230502185209,739648,210
643,643,20230502185209,740800,211
644,644,20230502185209,741952,214
645,645,20230502185209,743104,218
646,646,20230502185209,744256,219
647,647,20230502185209,745408,213
648,648,20230502185209,746560,212
649,649,20230502185209,747712,213
650,650,20230502185209,748864,213
651,651,20230502185209,750016,216
652,652,20230502185209,751168,221
653,653,20230502185209,752320,217
654,654,20230502185209,753472,213
655,655,20230502185209,754624,214
656,656,20230502185209,755776,211
657,657,20230502185210,756928,216
658,658,20230502185210,758080,219
659,659,20230502185210,759232,218
660,660,20230502185210,760384,212
661,661,20230502185210,761536,211
662,662,20230502185210,762688,212
663,663,20230502185210,763840,213
664,664,20230502185210,764992,217
665,665,20230502185210,766144,222
666,666,20230502185210,767296,217
667,667,20230502185210,768448,212
668,668,20230502185210,769600,211
669,669,20230502185210,770752,210
670,670,20230502185210,771904,215
671,671,20230502185210,773056,218
672,672,20230502185210,774208,219
673,673,20230502185210,775360,213
674,674,20230502185210,776512,210
675,675,20230502185210,777664,211
676,676,20230502185210,778816,213
677,677,20230502185210,779968,217
678,678,20230502185210,781120,223
679,679,20230502185210,782272,218
680,680,20230502185210,783424,212
681,681,20230502185210,784576,210
682,682,20230502185210,785728,211
683,683,20230502185210,786880,216
684,684,20230502185210,788032,220
685,685,20230502185210,789184,223
686,686,20230502185210,790336,215
687,687,20230502185210,791488,210
688,688,20230502185210,792640,210
689,689,20230502185210,793792,213
690,690,20230502185210,794944,216
691,691,20230502185210,796096,220
692,692,20230502185210,797248,213
693,693,20230502185210,798400,206
694,694,20230502185210,799552,207
695,695,20230502185210,800704,211
696,696,20230502185210,801856,213
697,697,20230502185210,803008,220
698,698,20230502185210,804160,223
699,699,20230502185210,805312,215
700,700,20230502185210,806464,211
701,701,20230502185210,807616,211
702,702,20230502185210,808768,212
703,703,20230502185210,809920,217
704,704,20230502185210,811072,225
705,705,20230502185210,812224,218
706,706,20230502185210,813376,210
707,707,20230502185210,814528,208
708,708,20230502185210,815680,210
709,709,20230502185210,816832,215
710,710,20230502185210,817984,220
711,711,20230502185210,819136,218
712,712,20230502185210,820288,213
713,713,20230502185210,821440,209
714,714,20230502185210,822592,208
715,715,20230502185210,823744,214
716,716,20230502185210,824896,216
717,717,20230502185210,826048,225
718,718,20230502185210,827200,219
719,719,20230502185210,828352,212
720,720,20230502185210,829504,208
721,721,20230502185210,830656,211
722,722,20230502185210,831808,215
723,723,20230502185210,832960,219
724,724,20230502185210,834112,218
725,725,20230502185210,835264,210
726,726,20230502185210,836416,204
727,727,20230502185210,837568,206
728,728,20230502185210,838720,214
729,729,20230502185210,839872,216
730,730,20230502185210,841024,223
731,731,20230502185210,842176,218
732,732,20230502185210,843328,212
733,733,20230502185210,844480,211
734,734,20230502185210,845632,212
735,735,20230502185210,846784,217
736,736,20230502185210,847936,225
737,737,20230502185210,849088,226
